t,ev,ev_exact
0.0,(-0.49964270571677594+0j),(-0.49964270571677644+0j)
0.7070707070707071,(-0.4922594158399344-5.956444231910911e-20j),(-0.49246649115293073+0j)
1.4141414141414141,(-0.4914441414958479+6.096404010565765e-19j),(-0.4682660740145684+0j)
2.121212121212121,(-0.5110195212862004+1.9595772462896214e-17j),(-0.42310428856319404+0j)
2.8282828282828283,(-0.4494828222042211-8.987235567961462e-18j),(-0.35929126955288293+0j)
3.5353535353535355,(-0.3375420321168287+3.565768788453699e-19j),(-0.2878132927232543+0j)
4.242424242424242,(-0.29662640385041866+8.65441134809819e-17j),(-0.22321635963722558+0j)
4.94949494949495,(-0.07929847747362011+1.0370682149070663e-16j),(-0.17641295680070085+0j)
5.656565656565657,(0.10728964024918555-9.973798877092489e-17j),(-0.15120033472166436+0j)
6.363636363636363,(0.33811388489290856-8.884695144518682e-16j),(-0.1441415863599202+0j)
7.070707070707071,(0.5378417438565088-2.123228428994015e-15j),(-0.14432885924791986+0j)
